, accent5, a_CT_ColorMapping, http://purl.oclc.org/ooxml/drawingml/chart, clrMapOvr
, accent6, a_CT_ColorMapping, http://purl.oclc.org/ooxml/drawingml/chart, clrMapOvr
, hlink, a_CT_ColorMapping, http://purl.oclc.org/ooxml/drawingml/chart, clrMapOvr
, folHlink, a_CT_ColorMapping, http://purl.oclc.org/ooxml/drawingml/chart, clrMapOvr
, bwMode, a_CT_ShapeProperties, http://purl.oclc.org/ooxml/drawingml/chart, spPr
http://purl.oclc.org/ooxml/officeDocument/relationships, id, r_id, http://purl.oclc.org/ooxml/drawingml/chart, externalData
http://purl.oclc.org/ooxml/officeDocument/relationships, id, r_id, http://purl.oclc.org/ooxml/drawingml/chart, userShapes
, lang, ddgrm_CT_CTName, http://purl.oclc.org/ooxml/drawingml/diagram, title
, val, ddgrm_CT_CTName, http://purl.oclc.org/ooxml/drawingml/diagram, title
, lang, ddgrm_CT_CTDescription, http://purl.oclc.org/ooxml/drawingml/diagram, desc
, val, ddgrm_CT_CTDescription, http://purl.oclc.org/ooxml/drawingml/diagram, desc
, name, ddgrm_CT_CTStyleLabel, http://purl.oclc.org/ooxml/drawingml/diagram, styleLbl
, lang, ddgrm_CT_Name, http://purl.oclc.org/ooxml/drawingml/diagram, title
, val, ddgrm_CT_Name, http://purl.oclc.org/ooxml/drawingml/diagram, title
, lang, ddgrm_CT_Description, http://purl.oclc.org/ooxml/drawingml/diagram, desc
, val, ddgrm_CT_Description, http://purl.oclc.org/ooxml/drawingml/diagram, desc
, useDef, ddgrm_CT_SampleData, http://purl.oclc.org/ooxml/drawingml/diagram, sampData
, useDef, ddgrm_CT_SampleData, http://purl.oclc.org/ooxml/drawingml/diagram, styleData
, useDef, ddgrm_CT_SampleData, http://purl.oclc.org/ooxml/drawingml/diagram, clrData
, name, ddgrm_CT_LayoutNode, http://purl.oclc.org/ooxml/drawingml/diagram, layoutNode
, styleLbl, ddgrm_CT_LayoutNode, http://purl.oclc.org/ooxml/drawingml/diagram, layoutNode
, chOrder, ddgrm_CT_LayoutNode, http://purl.oclc.org/ooxml/drawingml/diagram, layoutNode
, moveWith, ddgrm_CT_LayoutNode, http://purl.oclc.org/ooxml/drawingml/diagram, layoutNode
, lang, ddgrm_CT_SDName, http://purl.oclc.org/ooxml/drawingml/diagram, title
, val, ddgrm_CT_SDName, http://purl.oclc.org/ooxml/drawingml/diagram, title
, lang, ddgrm_CT_SDDescription, http://purl.oclc.org/ooxml/drawingml/diagram, desc
, val, ddgrm_CT_SDDescription, http://purl.oclc.org/ooxml/drawingml/diagram, desc
, name, ddgrm_CT_StyleLabel, http://purl.oclc.org/ooxml/drawingml/diagram, styleLbl
, id, p_CT_CommentAuthor, http://purl.oclc.org/ooxml/presentationml/main, cmAuthor
, name, p_CT_CommentAuthor, http://purl.oclc.org/ooxml/presentationml/main, cmAuthor
, initials, p_CT_CommentAuthor, http://purl.oclc.org/ooxml/presentationml/main, cmAuthor
, lastIdx, p_CT_CommentAuthor, http://purl.oclc.org/ooxml/presentationml/main, cmAuthor
, clrIdx, p_CT_CommentAuthor, http://purl.oclc.org/ooxml/presentationml/main, cmAuthor
, authorId, p_CT_Comment, http://purl.oclc.org/ooxml/presentationml/main, cm
, dt, p_CT_Comment, http://purl.oclc.org/ooxml/presentationml/main, cm
, idx, p_CT_Comment, http://purl.oclc.org/ooxml/presentationml/main, cm
, name, p_CT_CommonSlideData, http://purl.oclc.org/ooxml/presentationml/main, cSld
, bg1, a_CT_ColorMapping, http://purl.oclc.org/ooxml/presentationml/main, clrMap
, tx1, a_CT_ColorMapping, http://purl.oclc.org/ooxml/presentationml/main, clrMap
, bg2, a_CT_ColorMapping, http://purl.oclc.org/ooxml/presentationml/main, clrMap
, tx2, a_CT_ColorMapping, http://purl.oclc.org/ooxml/presentationml/main, clrMap
, accent1, a_CT_ColorMapping, http://purl.oclc.org/ooxml/presentationml/main, clrMap
, accent2, a_CT_ColorMapping, http://purl.oclc.org/ooxml/presentationml/main, clrMap
, accent3, a_CT_ColorMapping, http://purl.oclc.org/ooxml/presentationml/main, clrMap
, accent4, a_CT_ColorMapping, http://purl.oclc.org/ooxml/presentationml/main, clrMap
, accent5, a_CT_ColorMapping, http://purl.oclc.org/ooxml/presentationml/main, clrMap
, accent6, a_CT_ColorMapping, http://purl.oclc.org/ooxml/presentationml/main, clrMap
, hlink, a_CT_ColorMapping, http://purl.oclc.org/ooxml/presentationml/main, clrMap
, folHlink, a_CT_ColorMapping, http://purl.oclc.org/ooxml/presentationml/main, clrMap
, sldNum, p_CT_HeaderFooter, http://purl.oclc.org/ooxml/presentationml/main, hf
, hdr, p_CT_HeaderFooter, http://purl.oclc.org/ooxml/presentationml/main, hf
, ftr, p_CT_HeaderFooter, http://purl.oclc.org/ooxml/presentationml/main, hf
, dt, p_CT_HeaderFooter, http://purl.oclc.org/ooxml/presentationml/main, hf
, mod, p_CT_ExtensionListModify, http://purl.oclc.org/ooxml/presentationml/main, extLst
, cx, p_CT_SlideSize, http://purl.oclc.org/ooxml/presentationml/main, sldSz
, cy, p_CT_SlideSize, http://purl.oclc.org/ooxml/presentationml/main, sldSz
, type, p_CT_SlideSize, http://purl.oclc.org/ooxml/presentationml/main, sldSz
