,tableBorderDxfId,sml_CT_Table,http://schemas.openxmlformats.org/spreadsheetml/2006/main,table
,totalsRowBorderDxfId,sml_CT_Table,http://schemas.openxmlformats.org/spreadsheetml/2006/main,table
,headerRowCellStyle,sml_CT_Table,http://schemas.openxmlformats.org/spreadsheetml/2006/main,table
,dataCellStyle,sml_CT_Table,http://schemas.openxmlformats.org/spreadsheetml/2006/main,table
,totalsRowCellStyle,sml_CT_Table,http://schemas.openxmlformats.org/spreadsheetml/2006/main,table
,connectionId,sml_CT_Table,http://schemas.openxmlformats.org/spreadsheetml/2006/main,table
,count,sml_CT_Users,http://schemas.openxmlformats.org/spreadsheetml/2006/main,users
,conformance,sml_CT_Workbook,http://schemas.openxmlformats.org/spreadsheetml/2006/main,workbook
http://schemas.openxmlformats.org/wordprocessingml/2006/main,conformance,w_CT_Document,http://schemas.openxmlformats.org/wordprocessingml/2006/main,document
,styleId,a_CT_TableStyle,http://schemas.openxmlformats.org/drawingml/2006/main,tblStyle
,styleName,a_CT_TableStyle,http://schemas.openxmlformats.org/drawingml/2006/main,tblStyle
,name,a_CT_ColorScheme,http://schemas.openxmlformats.org/drawingml/2006/main,clrScheme
,name,a_CT_FontScheme,http://schemas.openxmlformats.org/drawingml/2006/main,fontScheme
,name,a_CT_StyleMatrix,http://schemas.openxmlformats.org/drawingml/2006/main,fmtScheme
,val,dchrt_CT_Boolean,http://schemas.openxmlformats.org/drawingml/2006/chart,date1904
,val,dchrt_CT_TextLanguageID,http://schemas.openxmlformats.org/drawingml/2006/chart,lang
,val,dchrt_CT_Boolean,http://schemas.openxmlformats.org/drawingml/2006/chart,roundedCorners
,val,dchrt_CT_Style,http://schemas.openxmlformats.org/drawingml/2006/chart,style
,bg1,a_CT_ColorMapping,http://schemas.openxmlformats.org/drawingml/2006/chart,clrMapOvr
,tx1,a_CT_ColorMapping,http://schemas.openxmlformats.org/drawingml/2006/chart,clrMapOvr
,bg2,a_CT_ColorMapping,http://schemas.openxmlformats.org/drawingml/2006/chart,clrMapOvr
,tx2,a_CT_ColorMapping,http://schemas.openxmlformats.org/drawingml/2006/chart,clrMapOvr
,accent1,a_CT_ColorMapping,http://schemas.openxmlformats.org/drawingml/2006/chart,clrMapOvr
,accent2,a_CT_ColorMapping,http://schemas.openxmlformats.org/drawingml/2006/chart,clrMapOvr
,accent3,a_CT_ColorMapping,http://schemas.openxmlformats.org/drawingml/2006/chart,clrMapOvr
,accent4,a_CT_ColorMapping,http://schemas.openxmlformats.org/drawingml/2006/chart,clrMapOvr
,accent5,a_CT_ColorMapping,http://schemas.openxmlformats.org/drawingml/2006/chart,clrMapOvr
,accent6,a_CT_ColorMapping,http://schemas.openxmlformats.org/drawingml/2006/chart,clrMapOvr
,hlink,a_CT_ColorMapping,http://schemas.openxmlformats.org/drawingml/2006/chart,clrMapOvr
,folHlink,a_CT_ColorMapping,http://schemas.openxmlformats.org/drawingml/2006/chart,clrMapOvr
,bwMode,a_CT_ShapeProperties,http://schemas.openxmlformats.org/drawingml/2006/chart,spPr
http://schemas.openxmlformats.org/officeDocument/2006/relationships,id,r_id,http://schemas.openxmlformats.org/drawingml/2006/chart,externalData
http://schemas.openxmlformats.org/officeDocument/2006/relationships,id,r_id,http://schemas.openxmlformats.org/drawingml/2006/chart,userShapes
,lang,ddgrm_CT_CTName,http://schemas.openxmlformats.org/drawingml/2006/diagram,title
,val,ddgrm_CT_CTName,http://schemas.openxmlformats.org/drawingml/2006/diagram,title
,lang,ddgrm_CT_CTDescription,http://schemas.openxmlformats.org/drawingml/2006/diagram,desc
,val,ddgrm_CT_CTDescription,http://schemas.openxmlformats.org/drawingml/2006/diagram,desc
,name,ddgrm_CT_CTStyleLabel,http://schemas.openxmlformats.org/drawingml/2006/diagram,styleLbl
,lang,ddgrm_CT_Name,http://schemas.openxmlformats.org/drawingml/2006/diagram,title
,val,ddgrm_CT_Name,http://schemas.openxmlformats.org/drawingml/2006/diagram,title
,lang,ddgrm_CT_Description,http://schemas.openxmlformats.org/drawingml/2006/diagram,desc
,val,ddgrm_CT_Description,http://schemas.openxmlformats.org/drawingml/2006/diagram,desc
,useDef,ddgrm_CT_SampleData,http://schemas.openxmlformats.org/drawingml/2006/diagram,sampData
,useDef,ddgrm_CT_SampleData,http://schemas.openxmlformats.org/drawingml/2006/diagram,styleData
,useDef,ddgrm_CT_SampleData,http://schemas.openxmlformats.org/drawingml/2006/diagram,clrData
,name,ddgrm_CT_LayoutNode,http://schemas.openxmlformats.org/drawingml/2006/diagram,layoutNode
,styleLbl,ddgrm_CT_LayoutNode,http://schemas.openxmlformats.org/drawingml/2006/diagram,layoutNode
,chOrder,ddgrm_CT_LayoutNode,http://schemas.openxmlformats.org/drawingml/2006/diagram,layoutNode
,moveWith,ddgrm_CT_LayoutNode,http://schemas.openxmlformats.org/drawingml/2006/diagram,layoutNode
,lang,ddgrm_CT_SDName,http://schemas.openxmlformats.org/drawingml/2006/diagram,title
,val,ddgrm_CT_SDName,http://schemas.openxmlformats.org/drawingml/2006/diagram,title
,lang,ddgrm_CT_SDDescription,http://schemas.openxmlformats.org/drawingml/2006/diagram,desc
,val,ddgrm_CT_SDDescription,http://schemas.openxmlformats.org/drawingml/2006/diagram,desc
,name,ddgrm_CT_StyleLabel,http://schemas.openxmlformats.org/drawingml/2006/diagram,styleLbl
,id,p_CT_CommentAuthor,http://schemas.openxmlformats.org/presentationml/2006/main,cmAuthor
,name,p_CT_CommentAuthor,http://schemas.openxmlformats.org/presentationml/2006/main,cmAuthor
,initials,p_CT_CommentAuthor,http://schemas.openxmlformats.org/presentationml/2006/main,cmAuthor
,lastIdx,p_CT_CommentAuthor,http://schemas.openxmlformats.org/presentationml/2006/main,cmAuthor
,clrIdx,p_CT_CommentAuthor,http://schemas.openxmlformats.org/presentationml/2006/main,cmAuthor
,authorId,p_CT_Comment,http://schemas.openxmlformats.org/presentationml/2006/main,cm
,dt,p_CT_Comment,http://schemas.openxmlformats.org/presentationml/2006/main,cm
,idx,p_CT_Comment,http://schemas.openxmlformats.org/presentationml/2006/main,cm
,name,p_CT_CommonSlideData,http://schemas.openxmlformats.org/presentationml/2006/main,cSld
,bg1,a_CT_ColorMapping,http://schemas.openxmlformats.org/presentationml/2006/main,clrMap
,tx1,a_CT_ColorMapping,http://schemas.openxmlformats.org/presentationml/2006/main,clrMap
,bg2,a_CT_ColorMapping,http://schemas.openxmlformats.org/presentationml/2006/main,clrMap
,tx2,a_CT_ColorMapping,http://schemas.openxmlformats.org/presentationml/2006/main,clrMap
,accent1,a_CT_ColorMapping,http://schemas.openxmlformats.org/presentationml/2006/main,clrMap
,accent2,a_CT_ColorMapping,http://schemas.openxmlformats.org/presentationml/2006/main,clrMap
,accent3,a_CT_ColorMapping,http://schemas.openxmlformats.org/presentationml/2006/main,clrMap
,accent4,a_CT_ColorMapping,http://schemas.openxmlformats.org/presentationml/2006/main,clrMap
,accent5,a_CT_ColorMapping,http://schemas.openxmlformats.org/presentationml/2006/main,clrMap
,accent6,a_CT_ColorMapping,http://schemas.openxmlformats.org/presentationml/2006/main,clrMap
,hlink,a_CT_ColorMapping,http://schemas.openxmlformats.org/presentationml/2006/main,clrMap
